"name" "lastname" "firstname" "articleNum" "birthDate" "birthMonth" "birthDay" "zodiac"
"Aaliyah" "Aaliyah" NA 0 1979-01-16 1 16 "Capricorn"
"Allende Gossens, Salvador" "Allende Gossens" "Salvador" 0 1908-06-26 6 26 "Cancer"
"Allende, Isabel" "Allende" "Isabel" 8 1942-08-02 8 2 "Leo"
"Allison, Dorothy" "Allison" "Dorothy" 0 1949-04-11 4 11 "Aries"
"Almodovar, Pedro" "Almodovar" "Pedro" 15 1949-09-25 9 25 "Libra"
"Almonte, Danny" "Almonte" "Danny" 4 1987-04-07 4 7 "Aries"
"Alomar, Roberto" "Alomar" "Roberto" 4 1968-02-05 2 5 "Aquarius"
"Alou, Felipe" "Alou" "Felipe" 5 1935-05-12 5 12 "Taurus"
"Alou, Moises" "Alou" "Moises" 36 1966-07-03 7 3 "Cancer"
"Alsop, Marin" "Alsop" "Marin" 13 1956-10-16 10 16 "Libra"
"Alterman, Eric" "Alterman" "Eric" 4 1960-01-14 1 14 "Capricorn"
"Altman, Robert" "Altman" "Robert" 29 1925-02-20 2 20 "Pisces"
"Altman, Roger C" "Altman" "Roger C" 1 1946-04-02 4 2 "Aries"
"Amanpour, Christiane" "Amanpour" "Christiane" 7 1958-01-12 1 12 "Capricorn"
"Ambrose, Stephen E" "Ambrose" "Stephen E" 0 1936-01-10 1 10 "Capricorn"
"Amelio, Gilbert F" "Amelio" "Gilbert F" 0 1943-03-01 3 1 "Pisces"
"Ames, Aldrich Hazen" "Ames" "Aldrich Hazen" 0 1941-05-26 5 26 "Gemini"
"Amin, Idi" "Amin" "Idi" 5 1925-01-01 1 1 "Capricorn"
"Amir, Yigal" "Amir" "Yigal" 1 1970-05-23 5 23 "Gemini"
"Amis, Martin" "Amis" "Martin" 14 1949-08-25 8 25 "Virgo"
"Anand, Viswanathan" "Anand" "Viswanathan" 29 1969-12-11 12 11 "Sagittarius"
"Ananiashvili, Nina" "Ananiashvili" "Nina" 10 1963-03-28 3 28 "Aries"
"Andersen, Hans Christian" "Andersen" "Hans Christian" 12 1805-04-02 4 2 "Aries"
"Anderson, Kenny" "Anderson" "Kenny" 1 NA NA NA NA
"Anderson, Laurie" "Anderson" "Laurie" 9 1947-06-05 6 5 "Gemini"
"Anderson, Michael P" "Anderson" "Michael P" 0 1959-12-25 12 25 "Capricorn"
"Anderson, Wes" "Anderson" "Wes" 12 1969-05-01 5 1 "Taurus"
"Ando, Tadao" "Ando" "Tadao" 5 1941-09-13 9 13 "Virgo"
"Andreotti, Giulio" "Andreotti" "Giulio" 1 1919-01-14 1 14 "Capricorn"
"Andrews, Edmund L" "Andrews" "Edmund L" 4 NA NA NA NA
"Andrews, Julie" "Andrews" "Julie" 10 1935-10-01 10 1 "Libra"
"Andrews, Robert E" "Andrews" "Robert E" 8 1957-08-04 8 4 "Leo"
"Andsnes, Leif Ove" "Andsnes" "Leif Ove" 17 1970-04-07 4 7 "Aries"
"Angell, Marcia" "Angell" "Marcia" 5 1939-04-20 4 20 "Aries"
"Angelou, Maya" "Angelou" "Maya" 6 1928-04-04 4 4 "Aries"
"Angier, Natalie" "Angier" "Natalie" 2 1958-02-16 2 16 "Aquarius"
"Aniston, Jennifer" "Aniston" "Jennifer" 23 1969-02-11 2 11 "Aquarius"
"Annan, Kofi" "Annan" "Kofi" 152 1938-04-08 4 8 "Aries"
"Annenberg, Walter H" "Annenberg" "Walter H" 1 1908-03-13 3 13 "Pisces"
"Anthony, Carmelo" "Anthony" "Carmelo" 37 1984-05-29 5 29 "Gemini"
"Anthony, Marc" "Anthony" "Marc" 12 1968-09-16 9 16 "Virgo"
"Antley, Chris" "Antley" "Chris" 0 NA NA NA NA
"Antonioni, Michelangelo" "Antonioni" "Michelangelo" 12 1912-09-29 9 29 "Libra"
"Apatow, Judd" "Apatow" "Judd" 26 1967-12-06 12 6 "Sagittarius"
"Applebome, Peter" "Applebome" "Peter" 21 NA NA NA NA
"Appleby, Stuart" "Appleby" "Stuart" 9 1971-05-01 5 1 "Taurus"
"Apted, Michael" "Apted" "Michael" 4 1941-02-10 2 10 "Aquarius"
"Arad, Michael" "Arad" "Michael" 4 1969-01-01 1 1 "Capricorn"
"Arafat, Suha" "Arafat" "Suha" 1 1963-07-17 7 17 "Cancer"
"Arafat, Yasir" "Arafat" "Yasir" 86 1929-08-24 8 24 "Virgo"
"Arar, Maher" "Arar" "Maher" 34 1970-01-01 1 1 "Capricorn"
"Arbour, Louise" "Arbour" "Louise" 7 1947-02-10 2 10 "Aquarius"
"Arbus, Diane" "Arbus" "Diane" 11 1923-03-14 3 14 "Pisces"
"Archer, Jeffrey" "Archer" "Jeffrey" 0 1940-04-15 4 15 "Aries"
"Arena, Bruce" "Arena" "Bruce" 38 1951-09-21 9 21 "Virgo"
"Arenson, Karen W" "Arenson" "Karen W" 2 NA NA NA NA
"Argerich, Martha" "Argerich" "Martha" 5 1941-06-05 6 5 "Gemini"
"Aristide, Jean-Bertrand" "Aristide" "Jean-Bertrand" 24 1953-07-15 7 15 "Cancer"
"Arkin, Alan" "Arkin" "Alan" 8 1934-03-26 3 26 "Aries"
"Arledge, Roone" "Arledge" "Roone" 0 1931-07-08 7 8 "Cancer"
"Armani, Giorgio" "Armani" "Giorgio" 27 0007-01-01 1 1 "Capricorn"
"Armey, Dick" "Armey" "Dick" 11 1940-07-07 7 7 "Cancer"
"Armstead, Jessie" "Armstead" "Jessie" 0 1970-10-26 10 26 "Scorpio"
"Armstrong, C Michael" "Armstrong" "C Michael" 1 1938-10-18 10 18 "Libra"
"Armstrong, Lance" "Armstrong" "Lance" 251 1971-09-18 9 18 "Virgo"
"Armstrong, Louis" "Armstrong" "Louis" 19 1900-07-04 7 4 "Cancer"
"Arnault, Bernard" "Arnault" "Bernard" 8 1949-03-05 3 5 "Pisces"
"Arnett, Peter" "Arnett" "Peter" 0 1934-11-13 11 13 "Scorpio"
"Arnott, Jason" "Arnott" "Jason" 0 1974-10-11 10 11 "Libra"
"Arpaio, Joseph M" "Arpaio" "Joseph M" 14 1932-06-14 6 14 "Gemini"
"Arroyo, Gloria Macapagal" "Arroyo" "Gloria Macapagal" 38 1947-04-05 4 5 "Aries"
"Artest, Ron" "Artest" "Ron" 36 1979-11-13 11 13 "Scorpio"
"Arum, Bob" "Arum" "Bob" 1 1931-12-08 12 8 "Sagittarius"
"Arvedlund, Erin E" "Arvedlund" "Erin E" 1 NA NA NA NA
"Asahara, Shoko" "Asahara" "Shoko" 0 1955-03-02 3 2 "Pisces"
"Ashbery, John" "Ashbery" "John" 8 1927-07-28 7 28 "Leo"
"Ashcroft, John" "Ashcroft" "John" 67 1942-05-09 5 9 "Taurus"
"Ashe, Arthur" "Ashe" "Arthur" 11 1943-07-10 7 10 "Cancer"
"Ashkenazy, Vladimir" "Ashkenazy" "Vladimir" 1 1937-07-06 7 6 "Cancer"
"Ashley, Christopher" "Ashley" "Christopher" 6 NA NA NA NA
"Ashton, Frederick" "Ashton" "Frederick" 22 1904-01-01 1 1 "Capricorn"
"Asimov, Eric" "Asimov" "Eric" 12 1957-07-17 7 17 "Cancer"
"Aso, Taro" "Aso" "Taro" 25 NA NA NA NA
"Aspan, Maria" "Aspan" "Maria" 0 1982-01-01 1 1 "Capricorn"
"Assad, Bashar Al-" "Assad" "Bashar Al-" 61 1965-09-11 9 11 "Virgo"
"Assad, Hafez Al-" "Assad" "Hafez Al-" 3 1930-10-06 10 6 "Libra"
"Assayas, Olivier" "Assayas" "Olivier" 13 1955-01-25 1 25 "Aquarius"
"Astaire, Fred" "Astaire" "Fred" 9 1899-05-10 5 10 "Taurus"
"Astor, Brooke" "Astor" "Brooke" 150 1902-03-30 3 30 "Aries"
"Ataturk, Kemal" "Ataturk" "Kemal" 14 1881-01-01 1 1 "Capricorn"
"Atkins, Eileen" "Atkins" "Eileen" 6 1934-06-16 6 16 "Gemini"
"Atta, Mohamed" "Atta" "Mohamed" 5 1968-09-01 9 1 "Virgo"
"Atwood, Margaret" "Atwood" "Margaret" 11 1939-11-18 11 18 "Scorpio"
"Auburn, David" "Auburn" "David" 4 1969-11-30 11 30 "Sagittarius"
"Auden, Wystan Hugh" "Auden" "Wystan Hugh" 6 1907-02-21 2 21 "Pisces"
"Audubon, John James" "Audubon" "John James" 12 1785-04-26 4 26 "Taurus"
"Aung San Suu Kyi, Daw" "Aung San Suu Kyi" "Daw" 83 1945-06-19 6 19 "Gemini"
"Auriemma, Geno" "Auriemma" "Geno" 42 1954-03-23 3 23 "Aries"
"Austen, Jane" "Austen" "Jane" 23 1775-12-16 12 16 "Sagittarius"
"Auster, Paul" "Auster" "Paul" 12 1947-02-03 2 3 "Aquarius"
"Autissier, Isabelle" "Autissier" "Isabelle" 0 1956-10-18 10 18 "Libra"
"Avedon, Richard" "Avedon" "Richard" 18 1923-05-15 5 15 "Taurus"
"Avery, Milton" "Avery" "Milton" 1 1885-03-07 3 7 "Pisces"
"Avery, Sean" "Avery" "Sean" 35 1980-04-10 4 10 "Aries"
"Ax, Emanuel" "Ax" "Emanuel" 21 1949-06-08 6 8 "Gemini"
"Axelrod, David" "Axelrod" "David" 28 1955-02-22 2 22 "Pisces"
"Ayckbourn, Alan" "Ayckbourn" "Alan" 15 1939-04-12 4 12 "Aries"
"Ayres, Ian" "Ayres" "Ian" 4 1959-01-01 1 1 "Capricorn"
"Azinger, Paul" "Azinger" "Paul" 8 1960-01-06 1 6 "Capricorn"
"Aznar, Jose Maria" "Aznar" "Jose Maria" 2 1953-02-25 2 25 "Pisces"
"Babbitt, Bruce" "Babbitt" "Bruce" 3 1938-06-27 6 27 "Cancer"
"Babbitt, Milton" "Babbitt" "Milton" 6 1916-05-10 5 10 "Taurus"
"Bacall, Lauren" "Bacall" "Lauren" 12 1924-09-16 9 16 "Virgo"
"Bacanovic, Peter E" "Bacanovic" "Peter E" 3 NA NA NA NA
"Bach, Johann Sebastian" "Bach" "Johann Sebastian" 22 1685-03-21 3 21 "Aries"
"Bacharach, Burt" "Bacharach" "Burt" 4 1928-05-12 5 12 "Taurus"
"Bacon, Kevin" "Bacon" "Kevin" 13 1958-07-08 7 8 "Cancer"
"Badillo, Herman" "Badillo" "Herman" 1 1929-08-21 8 21 "Leo"
"Baez, Anthony Ramon" "Baez" "Anthony Ramon" 0 1965-01-01 1 1 "Capricorn"
"Baez, Joan" "Baez" "Joan" 6 1941-01-09 1 9 "Capricorn"
"Baffert, Bob" "Baffert" "Bob" 24 1953-01-13 1 13 "Capricorn"
"Bai, Matt" "Bai" "Matt" 0 1968-09-09 9 9 "Virgo"
"Bailey, Donovan" "Bailey" "Donovan" 1 1967-12-16 12 16 "Sagittarius"
"Bailey, F Lee" "Bailey" "F Lee" 1 1933-06-10 6 10 "Gemini"
"Bailey, Jerry" "Bailey" "Jerry" 7 1957-08-29 8 29 "Virgo"
"Baitz, Jon Robin" "Baitz" "Jon Robin" 9 1961-11-04 11 4 "Scorpio"
"Baiul, Oksana" "Baiul" "Oksana" 2 1977-11-16 11 16 "Scorpio"
"Baker, Dusty" "Baker" "Dusty" 8 1949-06-15 6 15 "Gemini"
"Baker, Howard H Jr" "Baker" "Howard H Jr" 0 1925-11-15 11 15 "Scorpio"
"Baker, James A III" "Baker" "James A III" 48 1930-04-28 4 28 "Taurus"
"Baker, Nicholson" "Baker" "Nicholson" 8 1957-01-07 1 7 "Capricorn"
"Baker, Vin" "Baker" "Vin" 4 1971-11-23 11 23 "Sagittarius"
"Baker, William F" "Baker" "William F" 2 NA NA NA NA
"Balaguer, Joaquin" "Balaguer" "Joaquin" 1 1906-09-01 9 1 "Virgo"
"Balanchine, George" "Balanchine" "George" 95 1904-01-22 1 22 "Aquarius"
"Baldrige, Letitia" "Baldrige" "Letitia" 6 1926-02-09 2 9 "Aquarius"
"Baldwin, Alec" "Baldwin" "Alec" 38 1958-04-03 4 3 "Aries"
"Baldwin, William" "Baldwin" "William" 0 1963-02-21 2 21 "Pisces"
"Bale, Christian" "Bale" "Christian" 25 1974-01-30 1 30 "Aquarius"
"Ball, Lucille" "Ball" "Lucille" 3 1911-08-06 8 6 "Leo"
"Ballmer, Steven A" "Ballmer" "Steven A" 39 1956-03-24 3 24 "Aries"
"Baltimore, David" "Baltimore" "David" 0 1938-03-07 3 7 "Pisces"
"Ban Ki-moon" "Ban Ki-moon" NA 95 1944-06-13 6 13 "Gemini"
"Ban, Shigeru" "Ban" "Shigeru" 7 1957-08-05 8 5 "Leo"
"Banderas, Antonio" "Banderas" "Antonio" 5 1960-08-10 8 10 "Leo"
"Banks, Russell" "Banks" "Russell" 5 1940-03-28 3 28 "Aries"
"Barak, Ehud" "Barak" "Ehud" 45 1942-02-12 2 12 "Aquarius"
"Baraka, Amiri" "Baraka" "Amiri" 8 1934-10-07 10 7 "Libra"
"Baranski, Christine" "Baranski" "Christine" 6 1952-05-02 5 2 "Taurus"
"Barber, Samuel" "Barber" "Samuel" 12 1910-03-09 3 9 "Pisces"
"Barber, Tiki" "Barber" "Tiki" 69 1975-04-07 4 7 "Aries"
"Barbour, Haley" "Barbour" "Haley" 19 1947-10-22 10 22 "Libra"
"Bardem, Javier" "Bardem" "Javier" 15 1969-03-01 3 1 "Pisces"
"Bardot, Brigitte" "Bardot" "Brigitte" 5 1934-09-28 9 28 "Libra"
"Barenboim, Daniel" "Barenboim" "Daniel" 38 1942-11-15 11 15 "Scorpio"
"Barghouti, Marwan" "Barghouti" "Marwan" 10 1959-06-06 6 6 "Gemini"
"Barkley, Charles" "Barkley" "Charles" 10 1963-02-20 2 20 "Pisces"
"Barkley, Erick" "Barkley" "Erick" 1 1978-02-21 2 21 "Pisces"
"Barksdale, James L" "Barksdale" "James L" 0 1943-01-24 1 24 "Aquarius"
"Barnes, Albert C" "Barnes" "Albert C" 5 1872-01-02 1 2 "Capricorn"
"Barnes, Julian" "Barnes" "Julian" 6 1946-01-19 1 19 "Capricorn"
"Barnes, Roy E" "Barnes" "Roy E" 1 1948-03-11 3 11 "Pisces"
"Barnett, Gary" "Barnett" "Gary" 7 1946-05-23 5 23 "Gemini"
"Barney, Matthew" "Barney" "Matthew" 11 1967-03-25 3 25 "Aries"
"Barnicle, Mike" "Barnicle" "Mike" 0 1943-10-13 10 13 "Libra"
"Barr, Bob" "Barr" "Bob" 2 1948-11-05 11 5 "Scorpio"
"Barrionuevo, Alexei" "Barrionuevo" "Alexei" 0 NA NA NA NA
"Barron, Charles" "Barron" "Charles" 16 1951-01-01 1 1 "Capricorn"
"Barry, Dave" "Barry" "Dave" 9 1947-07-03 7 3 "Cancer"
"Barry, Marion S Jr" "Barry" "Marion S Jr" 5 1936-03-06 3 6 "Pisces"
"Barrymore, Drew" "Barrymore" "Drew" 13 1974-02-22 2 22 "Pisces"
"Barshefsky, Charlene" "Barshefsky" "Charlene" 2 1950-08-11 8 11 "Leo"
"Barstow, David" "Barstow" "David" 3 1963-01-21 1 21 "Aquarius"
"Bart, Peter" "Bart" "Peter" 3 1932-07-24 7 24 "Leo"
"Barth, John" "Barth" "John" 2 1930-05-27 5 27 "Gemini"
"Barthelme, Frederick" "Barthelme" "Frederick" 3 1943-10-10 10 10 "Libra"
"Bartlett, Bruce" "Bartlett" "Bruce" 7 1951-10-11 10 11 "Libra"
"Bartok, Bela" "Bartok" "Bela" 1 1881-03-25 3 25 "Aries"
"Bartoli, Cecilia" "Bartoli" "Cecilia" 6 1966-06-04 6 4 "Gemini"
"Baryshnikov, Mikhail" "Baryshnikov" "Mikhail" 24 1948-01-27 1 27 "Aquarius"
"Barzani, Massoud" "Barzani" "Massoud" 8 1946-08-16 8 16 "Leo"
"Basayev, Shamil" "Basayev" "Shamil" 12 1965-01-14 1 14 "Capricorn"
"Bashir, Abu Bakar" "Bashir" "Abu Bakar" 7 1938-01-01 1 1 "Capricorn"
"Bashir, Omar Hassan Al-" "Bashir" "Omar Hassan Al-" 84 1944-01-01 1 1 "Capricorn"
"Basinger, Kim" "Basinger" "Kim" 8 1953-12-08 12 8 "Sagittarius"
"Bastianich, Joseph" "Bastianich" "Joseph" 8 1968-09-17 9 17 "Virgo"
"Batali, Mario" "Batali" "Mario" 21 1960-09-19 9 19 "Virgo"
"Bates, John D" "Bates" "John D" 10 1946-10-11 10 11 "Libra"
"Bates, Kathy" "Bates" "Kathy" 6 1948-06-28 6 28 "Cancer"
"Battle, Kathleen" "Battle" "Kathleen" 3 1948-08-13 8 13 "Leo"
"Batts, Deborah A" "Batts" "Deborah A" 4 1947-04-13 4 13 "Aries"
"Baucus, Max" "Baucus" "Max" 70 1941-12-11 12 11 "Sagittarius"
"Bauer, Gary L" "Bauer" "Gary L" 1 1946-05-04 5 4 "Taurus"
"Bausch, Pina" "Bausch" "Pina" 14 1940-07-27 7 27 "Leo"
"Bay, Michael" "Bay" "Michael" 11 1965-02-17 2 17 "Aquarius"
"Bayh, Evan" "Bayh" "Evan" 19 1955-12-26 12 26 "Capricorn"
"Bayley, John" "Bayley" "John" 1 NA NA NA NA
"Baylor, Don" "Baylor" "Don" 0 1949-06-28 6 28 "Cancer"
"Baz, Rashid" "Baz" "Rashid" 0 NA NA NA NA
"Beame, Abraham D" "Beame" "Abraham D" 5 1906-03-20 3 20 "Pisces"
"Beane, Billy" "Beane" "Billy" 8 1962-03-29 3 29 "Aries"
"Beane, Douglas Carter" "Beane" "Douglas Carter" 14 NA NA NA NA
"Bearak, Barry" "Bearak" "Barry" 7 1949-08-31 8 31 "Virgo"
"Bearden, Milt" "Bearden" "Milt" 1 1940-01-01 1 1 "Capricorn"
"Bearden, Romare" "Bearden" "Romare" 3 1911-09-02 9 2 "Virgo"
"Beattie, Ann" "Beattie" "Ann" 4 1947-09-08 9 8 "Virgo"
"Beatty, Warren" "Beatty" "Warren" 9 1937-03-30 3 30 "Aries"
"Bechler, Steve" "Bechler" "Steve" 1 1979-11-18 11 18 "Scorpio"
"Beck" "Beck" NA 11 1970-07-08 7 8 "Cancer"
"Becker, Boris" "Becker" "Boris" 1 1967-11-22 11 22 "Scorpio"
"Becker, Elizabeth" "Becker" "Elizabeth" 0 NA NA NA NA
"Beckett, Samuel" "Beckett" "Samuel" 43 1906-04-13 4 13 "Aries"
"Beckham, David" "Beckham" "David" 87 1975-05-02 5 2 "Taurus"
"Beckinsale, Kate" "Beckinsale" "Kate" 9 1973-07-26 7 26 "Leo"
"Beckmann, Max" "Beckmann" "Max" 6 1884-02-12 2 12 "Aquarius"
"Beene, Geoffrey" "Beene" "Geoffrey" 2 1924-08-30 8 30 "Virgo"
"Beethoven, Ludwig van" "Beethoven" "Ludwig van" 79 1770-12-16 12 16 "Sagittarius"
"Begala, Paul" "Begala" "Paul" 6 1961-05-12 5 12 "Taurus"
"Begley, Louis" "Begley" "Louis" 4 1933-10-06 10 6 "Libra"
"Beilin, Yossi" "Beilin" "Yossi" 1 1948-06-12 6 12 "Gemini"
"Belafonte, Harry" "Belafonte" "Harry" 0 1927-03-01 3 1 "Pisces"
"Belichick, Bill" "Belichick" "Bill" 119 1952-04-16 4 16 "Aries"
"Bell, Derrick" "Bell" "Derrick" 0 1930-11-06 11 6 "Scorpio"
"Bell, Joshua" "Bell" "Joshua" 16 1967-12-09 12 9 "Sagittarius"
"Bell, Sean" "Bell" "Sean" 149 NA NA NA NA
"Bellafante, Ginia" "Bellafante" "Ginia" 2 1965-03-31 3 31 "Aries"
"Bellamy, Carol" "Bellamy" "Carol" 1 1942-01-14 1 14 "Capricorn"
"Belle, Albert" "Belle" "Albert" 0 1966-08-25 8 25 "Virgo"
"Bellow, Saul" "Bellow" "Saul" 21 1915-06-10 6 10 "Gemini"
"Bemba, Jean-Pierre" "Bemba" "Jean-Pierre" 14 1962-11-04 11 4 "Scorpio"
"Benedict XVI" "Benedict XVI" NA 366 1927-04-16 4 16 "Aries"
"Benes, Andy" "Benes" "Andy" 0 1967-08-20 8 20 "Leo"
"Benigni, Roberto" "Benigni" "Roberto" 2 1952-10-27 10 27 "Scorpio"
"Bening, Annette" "Bening" "Annette" 14 1958-05-29 5 29 "Gemini"
"Benitez, Armando" "Benitez" "Armando" 1 1972-11-03 11 3 "Scorpio"
"Benjamin, Daniel" "Benjamin" "Daniel" 4 NA NA NA NA
"Bennett, Alan" "Bennett" "Alan" 16 1934-05-09 5 9 "Taurus"
"Bennett, John O" "Bennett" "John O" 1 1948-08-06 8 6 "Leo"
"Bennett, Robert S" "Bennett" "Robert S" 2 1939-01-01 1 1 "Capricorn"
"Bennett, Tony" "Bennett" "Tony" 18 1926-08-03 8 3 "Leo"
"Bennett, William J" "Bennett" "William J" 4 1943-07-31 7 31 "Leo"
"Bentley, Eric" "Bentley" "Eric" 2 NA NA NA NA
"Berard, Bryan" "Berard" "Bryan" 1 NA NA NA NA
"Berenson, Alex" "Berenson" "Alex" 6 NA NA NA NA
"Berenson, Lori Helene" "Berenson" "Lori Helene" 2 1969-11-13 11 13 "Scorpio"
